Date (YYYYMMDD),YYYY,M,D,latitude,longitude,start time (UTC),Jesse Check,Bill add,Notes,New GOES Notes,Julian day,GOES Raw,GOES Images,,,,,,,,
20031226,2003,12,26,32.99,-106.3,1800,x,,,s NM,03360,x,x,,,20080521,,,,,
20031226,2003,12,26,31.92,-108.71,1800,x,,,sw NM,03360,x,x,,,20080522,,,,,
20031226,2003,12,26,31.56,-108.46,1800,x,,,sw NM,03360,x,x,,,20080523,,,,,
20031226,2003,12,26,32.4,-107.88,1800,x,,,s NM,03360,x,x,,,20080604,,,,,
20031226,2003,12,26,32.12,-107.74,1800,x,,,s NM,03360,x,x,,,20080605,,,,,
20031226,2003,12,26,31.93,-107.43,1800,x,,,s NM,03360,x,x,,,20080605,,,,,
20031226,2003,12,26,30.97,-108.71,1800,x,,,N CHH,03360,x,x,,,20080605,,,,,
20031226,2003,12,26,31.54,-108.05,1800,x,,,N CHH,03360,x,x,,,20080605,,,,,
20031226,2003,12,26,31.56,-107.68,1800,x,,,N CHH,03360,x,x,,,20080605,,,,,
20031226,2003,12,26,31.22,-107.94,1800,x,,,N CHH,03360,x,x,,,20080605,,,,,
20031226,2003,12,26,31.41,-108.71,1800,x,,,N CHH,03360,x,x,,,20080605,,,,,
20031226,2003,12,26,30.62,-107.95,1900,x,,,CHH,03360,x,x,,,20080605,,,,,
20031226,2003,12,26,30.54,-107.31,1900,x,,,CHH,03360,x,x,,,20080605,,,,,
20031226,2003,12,26,30.94,-106.97,1900,x,,,CHH,03360,x,x,,,20080605,,,,,
20031226,2003,12,26,30.62,-106.58,1900,x,,,CHH,03360,x,x,,,20080605,,,,,
20031226,2003,12,26,29.39,-107.8,1900,x,,,CHH,03360,x,x,,,20080605,,,,,
20031227,2003,12,27,31.55,-107.3,1730,x,,,Northern CHH,03361,x,x,,,20080610,,,,,
20031227,2003,12,27,31.28,-106.97,1730,x,,,Northern CHH,03361,x,x,,,20080610,,,,,
20031227,2003,12,27,31.05,-107.88,2000,x,,,CHH,,,,,,20080705,,,,,
20031227,2003,12,27,33.13,-102.79,1930,x,,,w TX,,,,,,20080705,,,,,
20031228,2003,12,28,33.56,-102.09,1800,,x,,western TX,,,,,,,,,,,
20031228,2003,12,28,33.23,-102.63,1800,,x,,western TX,,,,,,,,,,,
,,,,,,,,,,All 2004 1330 - 0030 UTC hourly imagery,,x,x,,,20080710,,,,,
20040102,2004,1,2,33.55,-101.76,1800,x,,,western TX,,,,,,20080825,,,,,
20040102,2004,1,2,32.76,-102,1800,x,,,western TX,,,,,,20080825,,,,,
20040103,2004,1,3,33.83,-102.14,1800,x,,,western TX,,,,,,20080830,,,,,
20040103,2004,1,3,30.98,-108.66,1830,x,,,Northern CHH,04003,x,x,,,20080831,,,,,
20040103,2004,1,3,31.18,-107.94,1830,x,,,Northern CHH,04003,x,x,,,20081011,,,,,
20040103,2004,1,3,31.44,-107.32,1830,x,,,Northern CHH,04003,x,x,,,20081011,,,,,
20040103,2004,1,3,29.4,-107.79,1700,x,,,Northern CHH,04003,x,x,,,20081011,,,,,
20040103,2004,1,3,30.57,-106.54,1700,x,,,Northern CHH,04003,x,x,,,20081011,,,,,
20040125,2004,1,25,31.36,-106.87,1830,x,,,Cloud coverage. Northern CHH,04025,x,x,,,20081022,,,,,
20040125,2004,1,25,24.34,-104.35,1800,,,,"Durango, MX. Too far south for new imagery. ",,x,x,,,20081109,,,,,
20040125,2004,1,25,33.64,-102.39,1800,x,,,western TX,,x,x,,,20081208,,,,,
20040125,2004,1,25,32.61,-101.76,1800,x,,,western TX,,x,x,,,20081208,,,,,
20040126,2004,1,26,32.46,-101.74,1530,x,,,western TX,04026,x,x,,,20081214,,,,,
20040126,2004,1,26,31.7,-100.9,1630,x,,,western TX,04026,x,x,,,20081214,,,,,
20040126,2004,1,26,31.73,-100.22,1630,x,,,western TX,04026,x,x,,,20081214,,,,,
20040131,2004,1,31,29.4,-107.7,1815,,,,Cloud coverage. Northern CHH,04031,x,x,,,20081216,,,,,
20040203,2004,2,3,30.97,-108.52,1945,x,,,Northern CHH,,,,,,20090210,,,,,
20040203,2004,2,3,30.19,-107.58,1945,x,,,Northern CHH,,,,,,20090217,,,,,
20040203,2004,2,3,31.27,-107.95,1930,x,,,Northern CHH,,,,,,20090210,,,,,
20040204,2004,2,4,24.27,-103.61,1700,,,,"Durango, MX. Too far south for new imagery. ",04035,x,x,,,20090225,,,,,
20040207,2004,2,7,35.03,-117.08,1800,x,,,Southern CA,,,,,,20090226,,,,,
20040213,2004,2,13,29.37,-107.78,1830,x,,,CHH,,,,,,20090303,,,,,
20040213,2004,2,13,29.26,-106.93,1830,x,,,CHH,,,,,,20090304,,,,,
20040213,2004,2,13,28.56,-106.71,1930,,x,,CHH,,,,,,20090304,,,,,
20040219,2004,2,19,32.2,-107.2,1930,x,,,Southern NM,,,,,,20090307,,,,,
20040219,2004,2,19,30.98,-108.69,1630,x,,,Northern CHH,04050,x,x,,,20090322,,,,,
20040219,2004,2,19,31.09,-108.17,1700,x,,,Northern CHH,04050,x,x,,,20090326,,,,,
20040219,2004,2,19,31.08,-107.85,1730,,x,,Northern CHH,04050,x,x,,,20090326,,,,,
20040219,2004,2,19,31.13,-107.47,1730,,x,,Northern CHH,04050,x,x,,,20090326,,,,,
20040219,2004,2,19,31.44,-107.32,1730,,x,,Northern CHH,04050,x,x,,,20090326,,,,,
20040219,2004,2,19,31.26,-106.89,1730,,x,,Northern CHH,04050,x,x,,,20090326,,,,,
20040219,2004,2,19,30.21,-108.04,1700,x,,,CHH,04050,x,x,,,20090329,,,,,
20040219,2004,2,19,30.12,-107.35,1700,x,,,CHH,04050,x,x,,,20090329,,,,,
20040219,2004,2,19,29.41,-107.78,1700,x,,,CHH,04050,x,x,,,20090329,,,,,
20040219,2004,2,19,29.11,-107.4,1700,x,,,CHH,04050,x,x,,,20090329,,,,,
20040219,2004,2,19,31.86,-105,1700,,x,,sw TX,04050,x,x,,,20090329,,,,,
20040219,2004,2,19,31.59,-108.45,1800,,x,,S NM,04050,x,x,,,20090329,,,,,
20040219,2004,2,19,31.21,-107.31,1600,,x,,S NM,04050,x,x,,,20090329,,,,,
20040219,2004,2,19,31.9,-107.47,1600,,x,,S NM,04050,x,x,,,20090329,,,,,
20040219,2004,2,19,32.88,-106.36,1530,,x,,S NM,04050,x,x,,,20090329,,,,,
20040219,2004,2,19,32.27,-105.08,1530,,x,,se NM,04050,x,x,,,20090329,,,,,
20040219,2004,2,19,32.76,104.26,1530,,x,,se NM,04050,x,x,,,20090329,,,,,
20040219,2004,2,19,33.23,-104.65,1530,,x,,se NM,04050,x,x,,,20090329,,,,,
20040219,2004,2,19,34,-103.55,1730,,x,,E NM,04050,x,x,,,20090329,,,,,
20040219,2004,2,19,34.58,-103.3,1730,,x,,E NM,04050,x,x,,,20090329,,,,,
20040219,2004,2,19,32.16,-102.92,1730,,x,,western TX,04050,x,x,,,20090329,,,,,
20040219,2004,2,19,33.81,-102.75,1730,,x,,western TX,04050,x,x,,,20090329,,,,,
20040221,2004,2,21,29.41,-107.78,1930,x,,,CHH,04052,x,x,,,20090330,,,,,
20040228,2004,2,28,30.1,-107.57,1530,x,,,Northern CHH,04059,x,x,,,20090401,,,,,
20040228,2004,2,28,28.97,-106.68,1630,x,,,Northern CHH,04059,x,x,,,20090401,,,,,
20040229,2004,2,29,24.3,-104.2,2015,,,,"Durango, MX. Too far south for new imagery. ",04060,x,x,,,20090402,,,,,
20040303,2004,3,3,29.72,-106.75,2000,x,,,CHH,04063,x,x,,,20090403,,,,,
20040303,2004,3,3,29.45,-107.35,2100,x,,,CHH,,,,,,20090404,,,,,
20040304,2004,3,4,31.5,-107.5,1730,x,,,Northern CHH,04064,x,x,,,20090408,,,,,
20040304,2004,3,4,24.34,-103.16,1515,,,"Large plume. Zacatecas, MX. ",Too far south for new imagery. ,04064,x,x,,,20090409,,,,,
20040304,2004,3,4,23.56,-102.1,1530,,,"Zacatecas, MX. ",Too far south for new imagery. ,04064,x,x,,,20090415,,,,,
20040305,2004,3,5,30.81,-106.61,2030,x,,,Limited GOES. Northern CHH,04065,x,x,,,20090422,,,,,
20040309,2004,3,9,31.46,-107.14,1730,x,,Super weird dust movement! Show Bill this one. ,Northern CHH,04069,x,x,,,20090423,,,,,
20040324,2004,3,24,40.27,-120.27,1930,,x,,ne CA,04084,x,x,,,20090423,,,,,
20040324,2004,3,24,40.27,-118.94,1930,,x,,nw NV,04084,x,x,,,20090423,,,,,
20040327,2004,3,27,37.98,-103.48,1600,,x,,southern CO,04087,x,x,,,20090423,,,,,
20040402,2004,4,2,29.39,-107.81,2000,x,,,CHH,04093,x,x,,,20090425,,,,,
20040413,2004,4,13,41.44,-119.98,2130,x,,,Northwestern NV,,,,,,20090428,,,,,
20040413,2004,4,13,40.48,-119.72,2000,x,,,Northwestern NV,,,,,,20090505,,,,,
20040413,2004,4,13,40.68,-119.54,2000,x,,,Northwestern NV,,,,,,20090505,,,,,
20040413,2004,4,13,40.28,-120.2,2000,x,,,northeast CA,,,,,,20090505,,,,,
20040413,2004,4,13,39.94,-118.35,2330,x,,,Western NV,,,,,,20090506,,,,,
20040414,2004,4,14,40.27,-120.21,2230,x,,,Northeastern CA,,,,,,20090605,,,,,
20040417,2004,4,17,35.03,-109.98,1730,x,,,AZ,,,,,,20090620,,,,,
20040417,2004,4,17,35.49,-110.84,1730,,x,,AZ,,,,,,20090620,,,,,
20040417,2004,4,17,35.65,-111.3,1730,,x,,AZ,,,,,,20090620,,,,,
20040417,2004,4,17,37.74,-105.83,1800,,x,,southern CO,,,,,,20090620,,,,,
20040418,2004,4,18,39.01,-102.46,1530,x,,Large plume,Southeastern CO,04109,x,x,,,20090621,,,,,
20040418,2004,4,18,38.62,-103.26,1530,x,,Large plume,Southeastern CO,04109,x,x,,,20090621,,,,,
20040418,2004,4,18,38.33,-103.4,1530,x,,Large plume,Southeastern CO,04109,x,x,,,20090621,,,,,
20040418,2004,4,18,38.07,-104.09,1500,x,,,Eastern CO,,x,x,,,20090806,,,,,
20040418,2004,4,18,38.2,-104.42,1500,,x,,Eastern CO,,x,x,,,20090806,,,,,
20040418,2004,4,18,37.77,-105.83,1730,x,,,Southern CO,,,,,,20090807,,,,,
20040419,2004,4,19,29.48,-107.82,2000,x,,,Cloud coverage. CHH,04110,x,x,,,20090808,,,,,
20040419,2004,4,19,31.46,-107.22,2230,x,,,Northern CHH,,,,,,20090829,,,,,
20040420,2004,4,20,31.41,-107.4,1830,x,,,Northern CHH,04111,x,x,,,20090921,,,,,
20040420,2004,4,20,30.81,-106.99,2030,x,,,Northern CHH,04111,x,x,,,20090921,,,,,
20040421,2004,4,21,39.8,-118.7,1830,x,,,NV,,,,,,20090929,,,,,
20040421,2004,4,21,39.32,-118.81,1830,x,,,NV,,,,,,20090929,,,,,
20040421,2004,4,21,31.54,-107.22,2030,x,,,Northern CHH,,,,,,20090930,,,,,
20040421,2004,4,21,30.87,-106.92,2030,x,,,Northern CHH,,,,,,20090930,,,,,
20040422,2004,4,22,32.17,-109.81,1700,x,,,Southeastern AZ,04113,x,x,,,20091004,,,,,
20040422,2004,4,22,31.01,-108.52,1715,x,,,Northern CHH,04113,x,x,,,20091028,,,,,
20040422,2004,4,22,30.84,-106.97,2015,x,,,Northern CHH,04113,x,x,,,20091120,,,,,
20040422,2004,4,22,31.59,-107.46,1745,x,,,Northern CHH,,x,x,,,20091128,,,,,
20040422,2004,4,22,31.32,-106.93,1900,x,,,Northern CHH,,x,x,,,20091128,,,,,
20040428,2004,4,28,40.41,-119.74,1600,x,,Crazy dark plume. Look at again. ,Western NV,04119,x,x,,,20091208,,,,,
20040428,2004,4,28,39.67,-118.6,1600,x,,Crazy dark plume. Look at again. ,Western NV,04119,x,x,,,20091208,,,,,
20040428,2004,4,28,39.83,-117.99,1600,,x,Crazy dark plume. Look at again. ,Western NV,,,,,,20091222,,,,,
20040428,2004,4,28,39.32,-119.22,1600,,x,Crazy dark plume. Look at again. ,Western NV,04119,x,x,,,20091208,,,,,
20040429,2004,4,29,32.18,-109.8,1730,x,,,Southeastern AZ,04120,x,x,,,20100121,,,,,
20040429,2004,4,29,31.98,-109.63,1730,x,,,Southeastern AZ,04120,x,x,,,20100121,,,,,
20040429,2004,4,29,31.68,-108.38,1730,x,,,southwest NM,04120,x,x,,,20100121,,,,,
20040429,2004,4,29,30.92,-108.73,1900,x,,,Cloud coverage. Northern CHH,04120,x,x,,,20100122,,,,,
20040429,2004,4,29,30.98,-107.01,2030,x,,,CHH,04120,x,x,,,20100220,,,,,
20040429,2004,4,29,29.34,-107.74,2030,x,,,Northern CHH,04120,x,x,,,20100228,,,,,
20040429,2004,4,29,31.61,-107.24,2015,,x,,Northern CHH,04120,x,x,,,20100228,,,,,
20040430,2004,4,30,31.62,-107.27,2030,x,,,Northern CHH,,,,,,20100308,,,,,
20040430,2004,4,30,29.42,-107.78,2100,x,,,CHH,,,,,,20100310,,,,,
20040504,2004,5,4,42.8,-120.64,1930,x,,,Southern OR,,,,,,20100318,,,,,
20040504,2004,5,4,42.54,-118.42,1930,x,,,Southern OR,,,,,,20100319,,,,,
20040504,2004,5,4,40.6,-119.57,1830,x,,,Western NV,,,,,,20100326,,,,,
20040504,2004,5,4,40.29,-120.24,1830,x,,,northeast CA,,,,,,20100326,,,,,
20040504,2004,5,4,39.85,-118.55,1930,x,,,NV,,,,,,20100330,,,,,
20040505,2004,5,5,42.8,-120.65,2000,,x,,Southern OR,,,,,,20100330,,,,,
20040507,2004,5,7,40.46,-119.71,2030,x,,,Western NV,,,,,,20100331,,,,,
20040507,2004,5,7,39.85,-118.3,1915,x,,,NV,,,,,,20100401,,,,,
20040510,2004,5,10,37.86,-113.71,1700,x,,,Cloud coverage. Southwestern UT,04131,x,x,,,20100405,,,,,
20040510,2004,5,10,38.74,-113.68,1700,,x,,Cloud coverage. Southwestern UT,04131,x,x,,,20100405,,,,,
20040510,2004,5,10,39.43,-113.45,1700,,x,,Cloud coverage. Southwestern UT,04131,x,x,,,20100405,,,,,
20040510,2004,5,10,39.07,-112.38,1700,,x,,Cloud coverage. Southwestern UT,04131,x,x,,,20100405,,,,,
20040510,2004,5,10,38.57,-115.67,1700,x,,,NV,,x,x,,,20100412,,,,,
20040510,2004,5,10,38,-116.03,1700,x,,,NV,,,,,,20100422,,,,,
20040510,2004,5,10,37.73,-115.77,1700,x,,,NV,,,,,,20100422,,,,,
20040510,2004,5,10,38.49,-117.37,1700,x,,,NV,,,,,,20100422,,,,,
20040510,2004,5,10,38.02,-117.89,1700,x,,,NV,,,,,,20100422,,,,,
20040510,2004,5,10,36.44,-117.47,1930,x,,,CA,,,,,,20100423,,,,,
20040511,2004,5,11,31.45,-107.32,1800,x,,,Northern CHH,04132,x,x,,,20100424,,,,,
20040511,2004,5,11,35.48,-110.92,1900,x,,,Northeastern AZ,,x,x,,,20100427,,,,,
20040511,2004,5,11,35.81,-111.35,1900,,x,,Northeastern AZ,,x,x,,,20100427,,,,,
20040511,2004,5,11,35.75,-108.68,1930,x,,,Northwestern NM,,,,,,20100428,,,,,
20040511,2004,5,11,37.71,-105.97,2130,x,,,Southern CO,,,,,,20100429,,,,,
20040512,2004,5,12,31.43,-107.34,1730,x,,,Northern CHH,04133,x,x,,,20100502,,,,,
20040515,2004,5,15,31.1,-107,2230,,,,Cloud coverage. CHH,,,,,,20100503,,,,,
20040517,2004,5,17,39.8,-118.43,2000,,x,,Northern CHH,04138,x,x,,,20100505,,,,,
20040521,2004,5,21,31.57,-107.21,2030,x,,,Northern CHH,04142,x,x,,,20100505,,,,,
20040521,2004,5,21,34.3,-105.7,1830,,,,Fire. NM,04142,x,x,,,20100506,,,,,
20040521,2004,5,21,32.2,-109.79,1900,x,,,Southeastern AZ,,x,x,,,20100509,,,,,
20040522,2004,5,22,31.54,-107.24,1600,x,,,Northern CHH,04143,x,x,,,20100510,,,,,
20040522,2004,5,22,30.86,-106.95,1600,x,,,CHH,,x,x,,,20100511,,,,,
20040523,2004,5,23,31.53,-107.32,2015,x,,,Northern CHH,04144,x,x,,,20100512,,,,,
20040524,2004,5,24,31.52,-107.24,1845,x,,,Northern CHH,04145,x,x,,,20100521,,,,,
20040524,2004,5,24,33.7,-105.3,1400,,,,NM - fire,04145,x,x,,,20100522,,,,,
20040527,2004,5,27,31.47,-107.35,2015,x,,,Northern CHH,04148,x,x,,,20100523,,,,,
20040529,2004,5,29,31.63,-107.49,1930,x,,,Northern CHH,04150,x,x,,,20100528,,,,,
20040529,2004,5,29,31.42,-107.25,1530,x,,,Northern CHH,04150,x,x,,,20100528,,,,,
20040529,2004,5,29,31.24,-106.94,1815,x,,,Northern CHH,04150,x,x,,,20100610,,,,,
20040529,2004,5,29,30.84,-106.98,1830,x,,,Northern CHH,,x,x,,,20100615,,,,,
20040529,2004,5,29,30.52,-107.3,1830,x,,,Northern CHH,,x,x,,,20100615,,,,,
20040529,2004,5,29,33.18,-102.41,2000,,x,,west TX,,,,,,20100616,,,,,
20040529,2004,5,29,32.62,-102.35,2000,x,,,west TX,,,,,,20100616,,,,,
20040606,2004,6,6,39.88,-118.38,2000,x,,,NV,04158,x,x,,,20100620,,,,,
20040607,2004,6,7,39.9,-118.43,2100,x,,,NV,,,,,,20100701,,,,,
20040607,2004,6,7,40,-108.1,2030,,,,Northwestern CO. Probably fire.,,,,,,20100702,,,,,
20040609,2004,6,9,32.51,-114.98,2030,x,,,"Baja California, MX",04161,x,x,,,20100703,,,,,
20040609,2004,6,9,35.47,-110.8,1930,x,,,Northern AZ,04161,x,x,,,20100718,,,,,
20040609,2004,6,9,31.42,-107.28,2030,x,,,Northern CHH,04161,x,x,,,20100728,,,,,
20040610,2004,6,10,31.43,-107.37,1915,x,,,Northern CHH,04162,x,x,,,20100817,,,,,
20040610,2004,6,10,31.27,-106.93,1915,x,,,Northern CHH,04162,x,x,,,20100817,,,,,
20040630,2004,6,30,31.44,-107.36,2130,x,,,Northern CHH,04182,x,x,,,20100826,,,,,
20040702,2004,7,2,34.2,-111.5,2030,,,,AZ - fire,,,,,,20100828,,,,,
20040703,2004,7,3,32.8,-109.9,2000,,,,Southern AZ - fire,,,,,,20100908,,,,,
20040703,2004,7,3,34.1,-111.4,2000,,,,AZ - fire,,,,,,20100914,,,,,
20040704,2004,7,4,31.53,-107.35,2100,x,,,Northern CHH,,,,,,20100919,,,,,
20040704,2004,7,4,33.1,-108.1,2130,,,,sputhwest NM - Fire,,,,,,20100920,,,,,
20040706,2004,7,5,31.56,-107.34,1630,x,,,Northern CHH,,,,,,20101108,,,,,
20040706,2004,7,6,31.5,-107.32,1730,x,,,Northern CHH,,,,,,20101108,,,,,
20040707,2004,7,7,31.52,-107.3,1630,x,,,Northern CHH,,,,,,20101117,,,,,
20040707,2004,7,7,35.3,-111.3,2000,,,,AZ - fire,,,,,,20101121,,,,,
20040707,2004,7,7,34.1,-111.3,2130,,,,AZ - fire,,,,,,20101122,,,,,
20040708,2004,7,8,35.2,-111.3,1630,,,,AZ - fire,,,,,,20101128,,,,,
20040708,2004,7,8,34,-111.3,1930,,,,AZ - fire,,,,,,20101129,,,,,
20040708,2004,7,8,31.53,-107.32,1700,x,,,Northern CHH,,,,,,20101117,,,,,
20040727,2004,7,27,33.64,-116.1,2200,,x,,southern CA - obs comfirm,,,,,,,,,,,
20040730,2004,7,30,37.6,-113.9,2100,,,,UT - fire,,,,,,20101207,,,,,
20040825,2004,8,25,39.78,-118.59,2030,x,,,NV,,,,,,20101230,,,,,
20040903,2004,9,3,32.73,-113.18,1500,,x,,sw AZ,,,,,,20110201,,,,,
20040903,2004,9,3,32.73,-113.39,1500,,x,,sw AZ,,,,,,20110201,,,,,
20040903,2004,9,3,32.95,-112.89,1500,,x,,sw AZ,,,,,,20110201,,,,,
20040908,2004,9,8,40.89,-119.18,1700,,x,,nw NV,,,,,,20110201,,,,,
20040909,2004,9,9,40.82,-119.1,2000,,x,,nw NV,,,,,,20110201,,,,,
20040911,2004,9,11,40.79,-119.17,1800,,x,,nw NV,,,,,,20110201,,,,,
20040912,2004,9,12,39.92,-118.46,1930,x,,,NV,,,,,,20110201,,,,,
20040912,2004,9,12,40.77,-119.2,1800,,x,,NV,,,,,,20110201,,,,,
20040917,2004,9,17,40.8,-119.19,1930,x,,,NV,,,,,,20110202,,,,,
20040917,2004,9,17,41.07,-118.83,1900,,x,,NV,,,,,,20110202,,,,,
20040917,2004,9,17,39.85,-118.57,2230,x,,,NV,,,,,,20110208,,,,,
20040918,2004,9,18,39.61,-112.67,1900,,x,,UT,,,,,,20110214,,,,,
20040918,2004,9,18,38.71,-113.27,1830,x,,,UT,,,,,,20110214,,,,,
20040918,2004,9,18,37.86,-113.67,1830,,x,,UT,,,,,,20110215,,,,,
20040919,2004,9,19,33.09,-116.04,2015,,x,,s CA,,,,,,20110215,,,,,
20041022,2004,10,22,38.05,-104.09,1700,x,,,Southern CO,,,,,,20110224,,,,,
20041029,2004,10,29,38.06,-104.06,1930,,,,Southern CO - fire,,,,,,20110226,,,,,
20041126,2004,11,26,30.76,-106.93,1930,,x,,CHH,,,,,,,,,,,
20041126,2004,11,26,31.42,-107.36,2030,,x,,CHH,,,,,,,,,,,
20041128,2004,11,28,34.24,-115.36,1830,,x,,southern CA,,,,,,,,,,,
20041206,2004,12,6,31.29,-106.91,1730,,x,,northern CHH,,,,,,,,,,,
,,,,,,,,,,All 2005 1330 - 0030 UTC hourly imagery,,x,x,,,20110227,,,,,
20050112,2005,1,12,31.26,-106.95,1730,x,,,Northern CHH,,,,,,20110307,,,,,
20050112,2005,1,12,32.65,-101.93,1830,x,,,west TX,,,,,,20110308,,,,,
20050112,2005,1,12,32.1,-101.75,1830,,x,,west TX,,,,,,20110308,,,,,
20050312,2005,3,12,43.44,-116.66,1730,,x,,southwest ID,,,,,,20110310,,,,,
20050312,2005,3,12,37.97,-103.95,1830,x,,,Southern CO,,,,,,20110310,,,,,
20050312,2005,3,12,39.94,-102.58,1700,x,,Dust wave,Eastern CO,,,,,,20110321,,,,,
20050312,2005,3,12,30.82,-107.02,2100,x,,,Northern CHH,,,,,,20110322,,,,,
20050313,2005,3,13,30.99,-106.78,1730,x,,,Northern CHH,,,,,,20110403,,,,,
20050313,2005,3,13,30.75,-106.89,1730,,x,,Northern CHH,,,,,,20110403,,,,,
20050313,2005,3,13,41.28,-118.58,2200,x,,,Northwestern NV,,,,,,20110404,,,,,
20050314,2005,3,14,35.08,-116.08,1800,,x,,s CA,,,,,,20110406,,,,,
20050321,2005,3,21,33.42,-102.86,1700,x,,,west TX,,,,,,20110406,,,,,
20050321,2005,3,21,31.62,-107.3,2030,x,,,Northern CHH,,,,,,20110407,,,,,
20050321,2005,3,21,30.6,-107.4,2030,x,,,Northern CHH,,,,,,20110408,,,,,
20050321,2005,3,21,30.88,-106.99,2100,,x,,Northern CHH,,,,,,20110408,,,,,
20050321,2005,3,21,29.22,-106.81,1930,x,,,CHH,,,,,,20110409,,,,,
20050323,2005,3,23,31.3,-107.5,1830,x,,,Northern CHH,,,,,,20110410,,,,,
20050323,2005,3,23,29.4,-107.62,2000,x,,,CHH,,,,,,20110414,,,,,
20050323,2005,3,23,29.06,-107.18,2000,x,,,CHH,,,,,,20110414,,,,,
20050324,2005,3,24,32.7,-102.9,1700,x,,,west TX,,,,,,20110415,,,,,
20050324,2005,3,24,31.47,-107.8,1900,x,,,Northern CHH,,,,,,20110418,,,,,
20050326,2005,3,26,31.02,-106.58,1830,x,,,Northern CHH,,,,,,20110420,,,,,
20050328,2005,3,28,33.58,-115.48,1830,x,,,Southern CA,,,,,,20110424,,,,,
20050329,2005,3,29,32.82,-106,1730,x,,,Southern NM,,,,,,20110425,,,,,
20050329,2005,3,29,31.2,-107.33,1700,x,,,Northern CHH,,,,,,20110426,,,,,
20050329,2005,3,29,30.67,-107.2,1630,,x,,Northern CHH,,,,,,20110428,,,,,
20050329,2005,3,29,30.7,-106.6,1700,x,,,Northern CHH,,,,,,20110428,,,,,
20050329,2005,3,29,29.21,-106.98,1630,x,,,CHH,,,,,,20110429,,,,,
20050329,2005,3,29,32.96,-102.76,2000,x,,,west TX,,,,,,20110430,,,,,
20050329,2005,3,29,33.36,-102.6,2000,x,,,west TX,,,,,,20110430,,,,,
20050330,2005,3,30,31,-107.02,2130,x,,,Northern CHH,,,,,,20110501,,,,,
20050402,2005,4,2,41,-118.88,2030,x,,,Northwestern NV,,,,,,20110507,,,,,
20050402,2005,4,2,41.15,-118.69,2030,x,,,Northwestern NV,,,,,,20110507,,,,,
20050404,2005,4,4,35.5,-111,1730,x,,,Cloud coverage. AZ,,,,,,20110508,,,,,
20050404,2005,4,4,34.98,-110.02,1830,x,,,Eastern AZ,,,,,,20110509,,,,,
20050404,2005,4,4,34.56,-109.91,1830,,x,,Eastern AZ,,,,,,20110509,,,,,
20050404,2005,4,4,32.15,-109.81,1900,x,,,Southeastern AZ,,,,,,20110510,,,,,
20050404,2005,4,4,31.05,-107.85,2000,x,,,Northern CHH,,,,,,20110511,,,,,
20050404,2005,4,4,31.52,-107.18,1830,,x,,Northern CHH,,,,,,20110511,,,,,
20050404,2005,4,4,31,-106.78,2000,x,,,Northern CHH,,,,,,20110511,,,,,
20050405,2005,4,5,33.3,-102.71,1730,x,,,west TX,,,,,,20110512,,,,,
20050405,2005,4,5,32.55,-102.6,1730,x,,,west TX,,,,,,20110512,,,,,
20050405,2005,4,5,31.6,-107.19,2030,x,,,Northern CHH,,,,,,20110515,,,,,
20050405,2005,4,5,30.91,-106.79,1930,x,,,Northern CHH,,,,,,20110518,,,,,
20050405,2005,4,5,30.58,-107.81,1930,,x,,Northern CHH,,,,,,20110518,,,,,
20050408,2005,4,8,36.03,-108.52,1600,x,,,Northwestern NM,,,,,,20110520,,,,,
20050408,2005,4,8,35.2,-111.3,1700,x,,,AZ,,,,,,20110524,,,,,
20050408,2005,4,8,34.9,-110,1630,x,,,Eastern AZ,,,,,,20110525,,,,,
20050408,2005,4,8,37.8,-106,2100,x,,,Southern CO,,,,,,20110528,,,,,
20050409,2005,4,9,32.1,-109.86,1800,x,,,Southeastern AZ,,,,,,20110529,,,,,
20050409,2005,4,9,31.53,-107.52,1830,x,,,Northern CHH,,,,,,20110530,,,,,
20050409,2005,4,9,30.95,-106.98,1800,x,,,Northern CHH,,,,,,20110603,,,,,
20050409,2005,4,9,31.12,-107.89,1800,,x,,Northern CHH,,,,,,20110603,,,,,
20050409,2005,4,9,30.75,-107.82,1800,,x,,Northern CHH,,,,,,20110603,,,,,
20050409,2005,4,9,30.61,-106.41,2000,,x,,Northern CHH,,,,,,20110603,,,,,
20050409,2005,4,9,29.3,-107,1700,x,,,CHH,,,,,,20110604,,,,,
20050409,2005,4,9,28.5,-106.93,1730,x,,,CHH,,,,,,20110605,,,,,
20050410,2005,4,10,33.5,-102.5,1630,x,,Dust wave,west TX,,,,,,20110607,,,,,
20050413,2005,4,13,37.9,-117.6,2100,x,,,NV,,,,,,20110608,,,,,
20050413,2005,4,13,39.85,-118.55,1930,,x,,NV,,,,,,20110608,,,,,
20050419,2005,4,19,35.3,-111.11,1730,x,,,AZ,,,,,,20110609,,,,,
20050419,2005,4,19,35.15,-110.78,1930,x,,,AZ,,,,,,20110612,,,,,
20050419,2005,4,19,34.75,-110.09,1930,,x,,AZ,,,,,,20110612,,,,,
20050419,2005,4,19,36.1,-108.4,1930,x,,,Northwestern NM,,,,,,20110613,,,,,
20050419,2005,4,19,32.18,-109.9,2100,x,,,Southern AZ,,,,,,20110619,,,,,
20050419,2005,4,19,31.42,-107.61,1930,x,,,Northern CHH,,,,,,20110620,,,,,
20050420,2005,4,20,37.88,-105.95,1830,,x,,s CO,,,,,,20110625,,,,,
